식당(ID),식당명,주차가능여부,반려동물입장가능여부,다국어메뉴판제공여부
6769,만덕집,N,N,N
6770,종점집,N,N,N
6771,과수원,N,N,Y
6772,우정집,N,N,N
6773,포구나무집,N,N,N
6774,토속주점,N,N,N
6775,터주대감 터주집,N,N,N
6776,경주집,N,N,N
6777,양남집,N,N,N
6778,마산집,N,N,N
6779,녹산집,N,N,N
6780,옛집,N,N,N
6781,생수장,N,N,N
6782,동문집,Y,N,Y
6783,대구집,N,N,N
6784,울산집,N,N,N
6785,대연집,N,N,N
6786,목장집,N,N,N
6787,진주집,Y,N,N
6788,산장,Y,N,N
6789,소담식당,N,N,Y
6790,에스빈(SBin),N,N,N
6791,미가분식,N,N,N
6792,설봉돼지국밥,Y,N,Y
6793,구이일번가,N,N,Y
6794,왔다산곰장어,N,N,N
6795,시장식당,N,N,N
6796,부산집,Y,N,N
6797,뚜꺼비골집,N,N,N
6798,진목횟집,N,N,N
6799,대성식당,N,N,N
6800,대성루,N,N,N
6801,명품달인김밥(녹산점),N,N,N
6802,원조밀양돼지국밥(연산점),N,N,N
6803,새미커피숍,N,N,N
6814,이색식당,Y,N,N
6815,타이사왓디,N,N,N
6816,일미식당,Y,N,Y
6817,밥앤락(사상2호점),N,N,N
6819,유정다방,N,N,N
6820,오아시스 커피숍,N,N,N
6821,무진장횟집(기장점),Y,N,N
6822,바다횟집,N,N,Y
6823,극동횟집,N,N,Y
6824,배나무집,Y,N,Y
6825,부담없는집,N,N,N
6826,진미숯불갈비,N,N,N
7976,원호청구내식당,N,N,N
7977,한월식당,N,N,N
7978,청자물회집,N,N,Y
7979,삼거리추어탕전문,N,N,N
7980,경아,N,N,N
7981,대선횟집,N,N,N
7982,이태리부대찌개(부산중앙점),N,N,N
7983,본전집,N,N,Y
7984,화촌,N,N,N
7986,원조동두천 부대찌개,N,N,N
7987,청금충무김밥,N,N,N
7988,미락분식,N,N,N
7989,태화꼼장어,N,N,N
7990,옹기김치집,N,N,N
7991,마당쇠껍데기와 소금구이,N,N,N
7992,다물촌,N,N,N
7993,세창대구요리전문점,N,N,Y
7994,함흥커피(중앙점),N,N,Y
