음식이미지(ID),식당(ID),식당명,음식이미지(URL)
169,613087,개성삼계탕,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2632304_1638845092_menu.png
144,616628,스타벅스(자갈치역점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2567406_1638844036_menu.png
170,619334,시부야 넘버원,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2961324_1638845092_menu.png
160,621041,아수라,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3033747_1638845054_menu.png
161,628313,아수라(남포점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3033747_1638845054_menu.png
154,633779,동원양곱창,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2835903_1638844992_menu.png
175,649214,영도다리횟집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/1782942_1638845097_menu.png
173,688087,닭도리탕N부대찌개이층집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2422279_1638845096_menu.png
174,688087,닭도리탕N부대찌개이층집,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2422282_1638845096_menu.png
155,691488,동원양곱창(1호점),https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/2835903_1638844992_menu.png
177,702403,세븐펍,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3045285_1638845098_menu.png
179,702403,세븐펍,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3045286_1638845098_menu.png
181,702403,세븐펍,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3045359_1638845098_menu.png
183,702403,세븐펍,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3045360_1638845098_menu.png
185,702403,세븐펍,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/menu_images/3045361_1638845099_menu.png
