식당(ID),식당위도,식당경도
7989,35.0995,129.0371
7990,35.0994,129.0375
7991,35.1011,129.0353
7992,35.1006,129.0361
7993,35.1087,129.0374
7994,35.1052,129.0356
7996,35.1046,129.0357
7997,35.106,129.0353
7998,35.1059,129.0351
7999,35.1004,129.0376
8000,35.1113,129.0385
8001,35.1022,129.0352
8002,35.1066,129.0382
8003,35.1066,129.0382
8004,35.1061,129.0352
8005,35.1069,129.0372
8007,35.1012,129.034
8008,35.1014,129.0348
8010,35.1048,129.0249
8012,35.1006,129.0263
8013,35.1008,129.0265
8015,35.1006,129.026
8016,35.1019,129.026
8017,35.1023,129.0264
8018,35.0993,129.0271
8020,35.1008,129.0253
8021,35.1022,129.0259
8022,35.1002,129.0259
8024,35.0989,129.0256
8025,35.1008,129.0263
8026,35.0991,129.0259
8027,35.1001,129.0261
8028,35.0991,129.0274
8029,35.1022,129.0258
8030,35.0989,129.0268
8031,35.0988,129.0332
8032,35.0989,129.0349
8033,35.0998,129.0305
8034,35.1014,129.0286
8035,35.1021,129.03
8036,35.1022,129.029
8037,35.1011,129.0294
8038,35.1011,129.0281
8039,35.0977,129.0296
8040,35.0974,129.0351
8041,35.0971,129.0311
8042,35.099,129.0298
8043,35.0979,129.0303
8044,35.0984,129.0329
8045,35.0971,129.0267
8046,35.0981,129.0332
8047,35.0979,129.027
8048,35.0988,129.0317
8049,35.0977,129.0296
8050,35.099,129.0296
8051,35.099,129.0298
8052,35.0986,129.0302
8053,35.0982,129.0335
8054,35.0987,129.0318
8055,35.0982,129.0283
8056,35.098,129.032
8057,35.0966,129.0306
8058,35.0987,129.031
8059,35.0987,129.0321
8060,35.1113,129.0373
8061,35.1013,129.0349
8062,35.0988,129.0304
8063,35.1022,129.0289
8064,35.0989,129.0315
8065,35.0983,129.033
8066,35.0982,129.0328
8067,35.109,129.0193
8068,35.1196,129.0161
8069,35.1023,129.0174
8072,35.0961,129.0238
8073,35.0988,129.0238
8076,35.1132,129.04
8077,35.1129,129.0391
8078,35.1293,129.0475
8079,35.1298,129.0477
8081,35.1394,129.0603
8082,35.1221,129.044
8083,35.1127,129.0375
8084,35.1379,129.0612
8085,35.1251,129.0459
8086,35.1209,129.0393
8087,35.1383,129.0615
8088,35.1286,129.0466
8089,35.1248,129.0412
8090,35.1373,129.0601
8091,35.0933,129.0387
8092,35.1584,129.0563
8093,35.16,129.059
8094,35.1582,129.0609
8095,35.158,129.0612
8096,35.1582,129.0562
8097,35.1629,129.0627
8098,35.1603,129.0564
8099,35.1592,129.0613
8100,35.1595,129.0566
8101,35.1586,129.0608
8102,35.1582,129.0567
8103,35.1589,129.0564
8104,35.1602,129.0584
8105,35.1608,129.0638
8106,35.1551,129.0646
8107,35.1696,129.0695
8108,35.1749,129.0749
8109,35.1768,129.0537
8110,35.1546,129.0602
8111,35.1547,129.058
8112,35.1551,129.0573
8113,35.1553,129.057
8114,35.156,129.0574
8115,35.1568,129.0601
8116,35.1553,129.0565
8117,35.1678,129.0402
8119,35.1734,129.0692
8120,35.1582,129.0609
8121,35.1748,129.0755
8122,35.1592,129.06
8123,35.1339,129.0811
8124,35.1113,129.1104
8125,35.1141,129.0953
8126,35.1223,129.0837
8127,35.135,129.0697
8128,35.1356,129.0688
8129,35.115,129.1128
8130,35.1356,129.0911
8131,35.1429,129.0648
8132,35.1367,129.0722
8133,35.2101,129.0076
8134,35.2215,129.0486
8135,35.2138,129.0463
8136,35.2129,129.0466
8137,35.2132,129.0464
8138,35.2137,129.0466
8139,35.2133,129.0467
8140,35.2135,129.0464
8141,35.2135,129.0306
8142,35.2138,129.0285
8145,35.1975,129.119
8146,35.2316,129.1551
8147,35.0708,128.9774
8148,35.0779,128.9776
8149,35.2445,129.055
8150,35.2228,129.0844
8151,35.2206,129.1131
8152,35.2309,129.0842
8153,35.2227,129.0846
8154,35.2282,129.0852
8155,35.1145,128.9319
8156,35.2154,128.9627
8157,35.1131,128.932
8158,35.1875,129.0979
8159,35.1875,129.0823
8160,35.1876,129.0829
8161,35.1873,129.082
8162,35.1873,129.0821
8163,35.1873,129.0821
8165,35.1688,129.1183
8166,35.1774,128.9839
8167,35.1614,128.9841
8168,35.1284,128.9708
8169,35.1713,128.9812
8170,35.1455,128.9841
8171,35.1562,128.9906
8172,35.2412,129.2183
8173,35.2962,129.26
8174,35.2429,129.2149
9772,35.0969,129.0272
9773,35.0969,129.0272
9774,35.098,129.0279
9775,35.1043,129.0353
